Company,Components,Sector
3i,III.L,Financial Services
Abrdn,ABDN.L,Financial Services
Admiral Group,ADM.L,Non-life Insurance
Airtel Africa,AAF.L,Telecommunications
Anglo American plc,AAL.L,Mining
Antofagasta plc,ANTO.L,Mining
Ashtead Group,AHT.L,Support Services
Associated British Foods,ABF.L,Food Producers
AstraZeneca,AZN.L,Pharmaceuticals & Biotechnology
Auto Trader Group,AUTO.L,Media
Aviva,AV.L,Life Insurance
B&M,BME.L,Retailers
BAE Systems,BA.L,Aerospace & Defence
Barclays,BARC.L,Banks
Barratt Developments,BDEV.L,Household Goods & Home Construction
Beazley Group,BEZ.L,Insurance
Berkeley Group Holdings,BKG.L,Household Goods & Home Construction
BP,BP.L,Oil & Gas Producers
British American Tobacco,BATS.L,Tobacco
British Land,BLND.L,Real Estate Investment Trusts
BT Group,BT-A.L,Fixed Line Telecommunications
Bunzl,BNZL.L,Support Services
Burberry,BRBY.L,Personal Goods
Centrica,CNA.L,Utilities
Coca-Cola HBC,CCH.L,Beverages
Compass Group,CPG.L,Support Services
Convatec,CTEC.L,Health Care
CRH plc,CRH.L,Construction & Materials
Croda International,CRDA.L,Chemicals
DCC plc,DCC.L,Support Services
Diageo,DGE.L,Beverages
Endeavour Mining,EDV.L,Mining
Entain,ENT.L,Travel & Leisure
Experian,EXPN.L,Support Services
Foreign & Colonial Investment Trust,FCIT.L,Financial Services
Flutter Entertainment,FLTR.L,Travel & Leisure
Frasers Group,FRAS.L,Retail
Fresnillo plc,FRES.L,Mining
Glencore,GLEN.L,Mining
GSK plc,GSK.L,Pharmaceuticals & Biotechnology
Haleon,HLN.L,Pharmaceuticals & Biotechnology
Halma plc,HLMA.L,Electronic & Electrical Equipment
Hargreaves Lansdown,HL.L,Financial Services
Hiscox,HSX.L,Insurance
HSBC,HSBA.L,Banks
IHG Hotels & Resorts,IHG.L,Travel & Leisure
Imperial Brands,IMB.L,Tobacco
Informa,INF.L,Media
International Airlines Group,IAG.L,Travel & Leisure
Intertek,ITRK.L,Support Services
JD Sports,JD.L,General Retailers
Johnson Matthey,JMAT.L,Chemicals
Kingfisher plc,KGF.L,Retailers
Land Securities,LAND.L,Real Estate Investment Trusts
Legal & General,LGEN.L,Life Insurance
Lloyds Banking Group,LLOY.L,Banks
London Stock Exchange Group,LSEG.L,Financial Services
M&G,MNG.L,Asset Managers
Melrose Industries,MRO.L,Automobiles & Parts
Mondi,MNDI.L,Forestry & Paper
National Grid plc,NG.L,"Gas, Water & Multi-utilities"
NatWest Group,NWG.L,Banks
Next plc,NXT.L,General Retailers
Ocado Group,OCDO.L,Food & Drug Retailers
Pearson plc,PSON.L,Media
Pershing Square Holdings,PSH.L,Financial Services
Persimmon plc,PSN.L,Household Goods & Home Construction
Phoenix Group,PHNX.L,Life Insurance
Prudential plc,PRU.L,Life Insurance
Reckitt,RKT.L,Household Goods & Home Construction
RELX,REL.L,Media
Rentokil Initial,RTO.L,Support Services
Rightmove,RMV.L,Media
Rio Tinto,RIO.L,Mining
Rolls-Royce Holdings,RR.L,Aerospace & Defence
RS Group plc,RS1.L,Industrials
Sage Group,SGE.L,Software & Computer Services
Sainsbury's,SBRY.L,Food & Drug Retailers
Schroders,SDR.L,Financial Services
Scottish Mortgage Investment Trust,SMT.L,Equity Investment Instruments
Segro,SGRO.L,Real Estate Investment Trusts
Severn Trent,SVT.L,"Gas, Water & Multi-utilities"
Shell plc,SHEL.L,Oil & Gas Producers
DS Smith,SMDS.L,General Industrials
Smiths Group,SMIN.L,General Industrials
Smith & Nephew,SN.L,Health Care Equipment & Services
Smurfit Kappa,SKG.L,General Industrials
Spirax-Sarco Engineering,SPX.L,Industrial Engineering
SSE plc,SSE.L,Electricity
Standard Chartered,STAN.L,Banks
St. James's Place plc,STJ.L,Financial Services
Taylor Wimpey,TW.L,Household Goods & Home Construction
Tesco,TSCO.L,Food & Drug Retailers
Unilever,ULVR.L,Personal Goods
United Utilities,UU.L,"Gas, Water & Multi-utilities"
Unite Group,UTG.L,Real Estate
Vodafone Group,VOD.L,Mobile Telecommunications
Weir Group,WEIR.L,Industrial Goods and Services
Whitbread,WTB.L,Retail hospitality
WPP plc,WPP.L,Media
